,Algorithm,Accuracy,Precision,F1 score,Sensitivity,Specificity,AUC
0,Random Forest,0.9009174311926605,0.946236559139785,0.9072164948453608,0.8712871287128713,0.12871287128712872,0.9046518288192456
1,SVM,0.9596330275229358,0.9576547231270358,0.9639344262295082,0.9702970297029703,0.02970297029702973,0.9582890107192537
2,Logistic Regression,0.9596330275229358,0.9606557377049181,0.9638157894736842,0.966996699669967,0.03300330033003296,0.9587049614052314
3,BernoulliNB,0.8935779816513761,0.9328621908127208,0.9010238907849829,0.8712871287128713,0.12871287128712872,0.8963873660093281
4,1D CNN,0.7137614678899082,0.8075313807531381,0.7121771217712178,0.636963696369637,0.363036303630363,0.7234405258707689
5,GradientBoostingClassifier,0.9669724770642202,0.9641693811074918,0.9704918032786886,0.976897689768977,0.02310231023102305,0.9657215721572158
6,Ada Boost Classifier forest,0.8110091743119267,0.7525252525252525,0.8526466380543632,0.9834983498349835,0.01650165016501648,0.7892698360745165
7,1D CNN,0.7137614678899082,0.8075313807531381,0.7121771217712178,0.636963696369637,0.363036303630363,0.7234405258707689
8,1D CNN,0.7137614678899082,0.8075313807531381,0.7121771217712178,0.636963696369637,0.363036303630363,0.7234405258707689
9,1D CNN,0.7137614678899082,0.8075313807531381,0.7121771217712178,0.636963696369637,0.363036303630363,0.7234405258707689
10,1D CNN,0.7137614678899082,0.8075313807531381,0.7121771217712178,0.636963696369637,0.363036303630363,0.7234405258707689
11,1D CNN,0.7137614678899082,0.8075313807531381,0.7121771217712178,0.636963696369637,0.363036303630363,0.7234405258707689
12,1D CNN,0.7137614678899082,0.8075313807531381,0.7121771217712178,0.636963696369637,0.363036303630363,0.7234405258707689
13,1D CNN,0.7137614678899082,0.8075313807531381,0.7121771217712178,0.636963696369637,0.363036303630363,0.7234405258707689
14,1D CNN,0.7137614678899082,0.8075313807531381,0.7121771217712178,0.636963696369637,0.363036303630363,0.7234405258707689
15,1D CNN,0.7137614678899082,0.8075313807531381,0.7121771217712178,0.636963696369637,0.363036303630363,0.7234405258707689
16,1D CNN,0.7137614678899082,0.8075313807531381,0.7121771217712178,0.636963696369637,0.363036303630363,0.7234405258707689
17,1D CNN,0.7137614678899082,0.8075313807531381,0.7121771217712178,0.636963696369637,0.363036303630363,0.7234405258707689
